Block 8640 (size 294)
+------+-------------------------------+-------------------------------+------------+------------+-------------------------------+
|      | handle                        | display_name                  |   fs_count |   fg_count | description                   |
|  8302 | sharonahill.bsky.social    | Sharon A. Hill         |         23 |          7 | Strange Claims Adjus      |
| 10935 | evnhsn.bsky.social         |                        |         22 |          5 |                           |
| 10917 | emarchak.bsky.social       | Erin                   |         23 |          5 |                           |
|  8300 | danjackson.bsky.social     | Dan Jackson            |         21 |          7 | Oakland                   |
|  8299 | chrisalbon.bsky.social     | Chris Albon            |         23 |          3 | Director of ML at Wi      |
| 10939 | kasper.bsky.social         | Kasper                 |         26 |          7 | Husband, dad, and th      |
|  8082 | greer.bsky.social          |                        |         24 |          7 |                           |
| 10942 | benbarry.bsky.social       |                        |         26 |          4 | benbarry.com              |
| 10945 | mehdi.bsky.social          | Mehdi Amiri            |         21 |          5 | Producer                  |
|  8294 | nzm.bsky.social            |                        |         27 |          6 |                           |
|  8069 | theknickswall.bsky.social  | The Knicks Wall        |         27 |          4 | Making sense of New       |
| 10916 | ronhubbard.bsky.social     | Ron Hubbard            |         25 |          5 | Designer, Creative,       |
| 10894 | illuminati.bsky.social     | Antonio Kowatsch       |         23 |          8 | Ambassador for human      |
| 10906 | ryry.bsky.social           |                        |         21 |          6 |                           |
|  8061 | awaisaftab.bsky.social     | Awais Aftab            |         22 |          6 | Psychiatrist with ph      |
| 10827 | ouriel.bsky.social         | Ouriel Ohayon          |         26 |          6 | CEO @ZenGo A secure       |
| 10901 | leslie.bsky.social         | Leslie Barry           |         26 |         10 | CEO Exponentially.co      |
| 10902 | gsiener.bsky.social        | Graham Siener          |         24 |          9 |                           |
| 10903 | fungible.bsky.social       |                        |         21 |          7 |                           |
|  8065 | neo.bsky.social            |                        |         22 |         13 |                           |
|  8319 | whaletoy.bsky.social       |                        |         22 |          5 |                           |
| 10907 | owen.bsky.social           | Owen Williams          |         22 |          6 | it me @ow                 |
|  8068 | mbower.bsky.social         | Michael Bower          |         24 |          5 | “Threat Hunter”           |
| 10908 | special2.bsky.social       |                        |         21 |          3 |                           |
| 10909 | goleary.bsky.social        |                        |         21 |          5 |                           |
| 10910 | ryo.bsky.social            | Ryan                   |         24 |          6 |                           |
|  8318 | micahwells.bsky.social     |                        |         21 |          5 |                           |
|  8066 | imaznation.bsky.social     |                        |         23 |          4 |                           |
| 10913 | jjmata.bsky.social         | Juanjo Mata            |         26 |          7 |                           |
|  8067 | kamwoods.bsky.social       | Kam Woods              |         22 |          5 |                           |
|  8063 | genesis.bsky.social        | Genesis                |         23 |          4 |                           |
| 10800 | julian.bsky.social         |                        |         24 |          5 |                           |
|  7774 | dan.torgo.com              | Daniel Appelquist      |         25 |          6 | Open Source & Open S      |
|  7863 | daniel.bsky.social         | Daniel May             |         23 |          3 |                           |
|  8671 | youssef.bsky.social        | Youssef Salem          |         42 |          7 | Tech content creator      |
| 10604 | hugo1.bsky.social          |                        |         22 |          4 |                           |
|  7847 | neworleans.bsky.social     | Sugabush               |         23 |          5 | New Orleans first Bl      |
|  8682 | gabor.bsky.social          | Gabor Cselle           |         24 |          9 |                           |
| 10615 | aaronhendrick.com          | aaron                  |         26 |          4 |                           |
|  7855 | bharath.bsky.social        | Bharath Silagani       |         21 |          3 | Community Manager, I      |
| 10462 | gavin.bsky.social          | Gavin Peacock          |         25 |          3 | Inventor, robotics c      |
|  7866 | victorb.bsky.social        |                        |         21 |          8 |                           |
+-------+----------------------------+------------------------+------------+------------+---------------------------+


Block 9899 (size 273)
+------+-----------------------------+-------------------------+------------+------------+--------------------------+
|      | handle                      | display_name            |   fs_count |   fg_count | description              |
|------+-----------------------------+-------------------------+------------+------------+--------------------------|
| 5472 | metrotimes.bsky.social      | Detroit Metro Times     |         24 |          4 | Metro Detroit's awar     |
| 4901 | phicode.bsky.social         | phi__code               |         23 |          3 | 👨‍💻 French Full-Stac    |
| 5473 | leedevito.bsky.social       | Leyland “Lee” DeVito    |         21 |          8 | Editor-in-Chief @met     |
| 4876 | anthyra.bsky.social         | Anthyra                 |         21 |          3 | French web developer     |
| 5561 | philly.bsky.social          |                         |         21 |          6 |                          |
| 4304 | ferret.bsky.social          |                         |         23 |         10 |                          |
| 3421 | reichlingthomas.bsky.social | Thomas Reichling        |         23 |          7 | CEO pick.aw — Entrep     |
| 4806 | preetham.bsky.social        | Preetham | Huddle01     |         41 |         42 | Business Development     |
| 5110 | danmaccarone.bsky.social    | Dan Maccarone           |         30 |         15 |                          |
| 5148 | aaronp.bsky.social          | Aaron P                 |         22 |          5 | South Jerz & Philly      |
| 4747 | jlantunez.bsky.social       | José Luis Antúnez       |         30 |         14 | Companies that matte     |
| 5548 | bowie.bsky.social           | Mank Ind                |         23 |          6 |                          |
| 6882 | tjh.bsky.social             | Tom Hanley              |         21 |          4 | Web Application Deve     |
| 3894 | thesamecat.bsky.social      |                         |         21 |          3 |                          |
| 6622 | jak.bsky.social             | Johnny Kinder           |         21 |         12 | Cofounder @Harmonize     |
| 4765 | juanrtalavera.bsky.social   | Juan Rodríguez Talavera |         29 |          6 | I make things with d     |
| 5099 | photuris5.bsky.social       | Gina Wilson             |         23 |         16 | WordPress web develo     |
| 4667 | marksuth.dev                | Mark Sutherland         |         25 |         11 | 🌍 https://marksuth.d    |
| 5625 | gys1984.bsky.social         | Gijs                    |         30 |         17 | Frontend developer,      |
| 5859 | turom13.bsky.social         | Turom13                 |         23 |          7 | American advocate fo     |
| 5356 | ianm.bsky.social            | Ian Massingham          |         21 |          3 | Devrel, Community, S     |
| 5056 | baler.bsky.social           | db                      |         24 |          9 | so far, so good          |
| 4925 | jenniferj.bsky.social       | Jennifer                |         27 |          8 | Dark humor, snark, c     |
| 4807 | jennipher.bsky.social       | Jennipher               |         30 |          5 | Reject hate. Proud M     |
| 4334 | vittorio.bsky.social        | Vittorio                |         29 |          9 |                          |
| 5563 | cobraphi.bsky.social        | CobraPhi                |         21 |          6 | International Aviati     |
| 4286 | color.bsky.social           | Color Museum            |         21 |          8 | The Museum of the Me     |
| 7486 | ysl.bsky.social             | Yahia Lababidi          |         25 |         13 | Writer-SeekerMy book     |
| 6788 | mohammadreza.bsky.social    | Mohammadreza            |         22 |          3 |                          |
| 6155 | channingsmith.bsky.social   | Channing Smith          |         25 |         16 | Real Estate Agent, b     |
| 5786 | tnlutes.bsky.social         | Thomas Lutes            |         23 |          4 | Public Relations, LG     |
| 6512 | unroastable.bsky.social     | unroastable             |         21 |          3 | As Charizard once sa     |
| 5800 | cydsinc.bsky.social         | Cyd                     |         23 |          8 |                          |
| 5236 | griff.bsky.social           | Griffin Wiebel          |         25 |          9 | #1 Spider-Verse fan.     |
| 3867 | talljared.bsky.social       | Jared                   |         24 |          8 | Family man, atheist,     |
| 4926 | onedamnthing.bsky.social    | Danielle                |         21 |          4 | What was I talking a     |
| 6125 | ummshelby.bsky.social       | Shelby                  |         22 |          4 | Trying my best           |
| 4933 | pawlata.bsky.social         | Pawlata                 |         22 |         21 | Let it roll              |
| 5203 | rabin.bsky.social           | rabin                   |         23 |          6 | Machine linguist bor     |
| 5209 | dimesizedrop.bsky.social    | DimeSizeDrop            |         24 |          6 | Just a dude who love     |
| 5210 | catposey.bsky.social        | Cat Posey / catpoetry   |         21 |         10 | Social entrepreneur,     |
| 5211 | juancha.bsky.social         | Juan Charana            |         29 |         12 | Attorney. Family man     |
| 5212 | jorgeoc.bsky.social         | Jorge                   |         33 |         34 | Media entrepreneur       |
| 3070 | siygle.bsky.social          | @siygle                 |         28 |         44 | #Taiwan #TJC #網路黑手 # |
| 3847 | kirtan.bsky.social          | Kirtan Patel            |         22 |          4 | CEO of my life           |
| 4299 | arc.bsky.social             | Andy Coravos            |         23 |          5 | Curious about birdin     |
| 5830 | current.ninja               | starbuilder             |         27 |          9 | Builder. Coder. Bitc     |
| 5222 | d4nm0.bsky.social           | Dan                     |         30 |         12 | Full de Stack Develo     |
| 6770 | reesecommabill.bsky.social  | Bill Reese              |         28 |          9 | Dad, husband, xenoph     |
| 4914 | freak4pc.bsky.social        |                         |         26 |         10 |                          |
| 4885 | scottm.bsky.social          |                         |         21 |          4 | Backup Admin; husban     |
| 5814 | sinapersia.bsky.social      | Sina 🪐                 |         35 |         34 | Someone with big dre     |
| 5238 | melitasekgwa.bsky.social    | Melita Sekgwa           |         25 |         10 | •Actor•Fashion Model     |
| 5811 | loki.bsky.social            | Loki Ryx                |         27 |         23 | find me on bento.me/     |
| 5784 | radek.bsky.social           | radek                   |         24 |          3 | Love winter, hate li     |
| 4873 | amber.bsky.social           | Amber                   |         27 |          3 | NJ/PA - Woke AF.         |
| 4270 | liana.bsky.social           | Liana                   |         29 |         14 | Eternal optimist 🔮|     |
| 5339 | chrisheuer.bsky.social      | Chris Heuer             |         28 |         11 | Creative Catalyst @      |
| 5726 | bacot.web.id                | b                       |         28 |         11 |                          |
| 4844 | burkay.bsky.social          | burk                    |         29 |         16 | developer                |
| 5320 | idoivri.bsky.social         |                         |         25 |          5 |                          |
| 5327 | jlevitsk.bsky.social        | Josh Levitsky           |         23 |          6 | Global Head of Pro S     |
| 3943 | hbar.bsky.social            | Joshua Sindy            |         24 |          5 |                          |
| 3375 | palash.co                   | palash                  |         27 |         11 | software developer+d     |
| 6872 | stanley.bsky.social         | stanley alvey           |         21 |          3 | dog & plant dad, peo     |
| 6877 | kvn.bsky.social             | Kevin Kipp              |         31 |         17 | Web UI engineer pass     |
| 4828 | wflbc.bsky.social           | Scott Graham 📷         |         33 |         23 | Digital artist. Slow     |
| 4268 | naghibi.bsky.social         | Farshad Naghibi         |         22 |          6 |                          |
| 5341 | jasonmorris.bsky.social     | Jason Morris            |         23 |          6 | Author | Speaker | A     |
| 7149 | stegeman.bsky.social        | Ryan Stegeman           |         27 |          8 |                          |
| 5343 | thepurifier.bsky.social     | Neyse                   |         27 |          4 | I do things              |
| 5348 | adpo.bsky.social            | adpo                    |         24 |         16 |                          |
| 5349 | tulipking.bsky.social       | Tulip King 🌷           |         22 |          4 | Trading Tulips | Wri     |
| 5350 | dtz.bsky.social             | diego✌️                  |         24 |         12 | Humble, focused, rea     |
| 5354 | kcjoyce.bsky.social         | KCJoyce                 |         28 |         13 | Long-bow archer 🏹 No    |
| 6888 | moe.bsky.social             | Moe                     |         22 |          3 | D.C., international      |
| 4845 | megaholt.bsky.social        | Megaholt                |         24 |          3 | Evil twin. Critical      |
| 7758 | geowyn.bsky.social          | George Wyner            |         28 |         18 | Teach and learn abou     |
| 4856 | oyvind.bsky.social          | Oyvind Solstad          |         32 |         27 | http://about.me/oyvi     |
| 5305 | sflens.bsky.social          | Steve Flens             |         24 |          3 | Human                    |
| 4880 | murricane.com               | Sean Murricane          |         26 |          6 | Professional troll h     |
| 7203 | alo.bsky.social             | Angel Lorente           |         25 |         17 | Observer. From Spain     |
| 4936 | darkathena.bsky.social      | Kate                    |         23 |          9 | I like to: make thin     |
| 6188 | curtis.bsky.social          | Curtis                  |         26 |          6 | Aerospace Engineer.      |
| 4255 | viditb.bsky.social          | Vidit Bhargava          |         22 |          9 | Design and Develop i     |
| 4872 | sahil.bsky.social           | sahil                   |         37 |         15 | Working on trust gra     |
| 4253 | mikedrop.bsky.social        | Mike                    |         21 |          3 |                          |
| 4248 | alvin.bsky.social           |                         |         22 |         12 |                          |
| 4866 | adam24.bsky.social          | Adam24                  |         34 |         10 | Just a little mouse      |
| 6196 | cyclaklaus.bsky.social      | Schmil                  |         22 |          5 | Marketing guy, dad a     |
| 4244 | jester.bsky.social          |                         |         21 |          4 |                          |
| 5750 | uts.bsky.social             | UTS                     |         31 |          7 |                          |
| 5749 | jamespc.bsky.social         | Jimmy James             |         23 |          4 | Avid sports fan, ner     |
| 6477 | gerardmcgarry.com           | Gerard McGarry          |         24 |          5 | Lover of life, trier     |
| 3595 | darn.fish                   | William                 |         25 |         10 | Software & Design        |
| 4859 | wysiwyg.bsky.social         | Kae                     |         22 |          3 |                          |
| 4858 | belev.bsky.social           |                         |         21 |          3 |                          |
| 7267 | theludap.bsky.social        | Luda P                  |         22 |          7 | Artist • DnD player      |
| 5501 | rogon.bsky.social           | Rogon                   |         23 |         11 | Cranberry lover          |
| 5195 | longo.bsky.social           | Nick Longo              |         30 |          9 | Texas Entrepreneur.      |
+------+-----------------------------+-------------------------+------------+------------+--------------------------+


Block 7451 (size 271)
+------+------------------------------+-----------------------+------------+------------+-----------------------+
|      | handle                       | display_name          |   fs_count |   fg_count | description           |
|------+------------------------------+-----------------------+------------+------------+-----------------------|
| 2565 | jaypeters.bsky.social        | Jay Peters            |         30 |         12 | I’m a writer at The   |
|  253 | thedextriarchy.bsky.social   | Adi Robertson         |         24 |          7 | Senior Editor, Tech   |
|  476 | acbalingit.com               | Chester Balingit      |         27 |         10 | Web: https://acbalin  |
|  436 | mtlim.bsky.social            | May Lim               |         22 |          5 |                       |
| 1555 | saidfaz.bsky.social          | Said Faz              |         23 |          7 | 👨‍💻Dipl. Informatike |
| 1375 | monbrielle.bsky.social       | Mon                   |         33 |         18 | She/Her | TVXQ | Jae  |
| 1558 | sorcerer86.bsky.social       | sorcerer86            |         25 |          9 | Buchautor & Podcaste  |
|  724 | zalacain.bsky.social         | Martin Zalacain       |         22 |          9 | Historias de las bue  |
|  945 | segamanxero.bsky.social      | SegamanXero           |         29 |         13 | 𝓝𝓸 𝓸𝓷𝓮 𝓶𝓸𝓿𝓮𝓼 𝓽𝓱𝓻𝓸𝓾𝓰𝓱  |
| 1476 | waveda.sh                    | 🏹🪃💣                |         24 |         11 | melee • satx • blip@  |
| 1278 | jessety.bsky.social          | Jesse Youngblood      |         22 |          3 | One of those compute  |
| 2939 | nick-p-o.bsky.social         | Nick                  |         22 |         12 | Software dev, FRC Me  |
| 2679 | darafaye.bsky.social         | dara faye             |         24 |          3 | former congressional  |
|  826 | hyai.bsky.social             | hyai                  |         21 |          5 |                       |
